,Total Skipped,Debug Skipped,Total Failed,Debug Failed
Total,1191,798,182,0
WebExtensions::Untriaged,388,386,2,0
Firefox::Session Restore,165,165,3,0
Core::DOM: Core & HTML,81,40,32,0
DevTools::General,95,94,5,0
Core::DOM: Security,60,3,17,0
Firefox::Site Identity and Permission Panels,38,38,4,0
Core::Security: PSM,31,0,0,0
Core::DOM: Service Workers,27,6,2,0
DevTools::Storage Inspector,13,13,15,0
Toolkit::Password Manager,19,2,9,0
WebExtensions::General,26,0,2,0
DevTools::about:debugging,25,1,0,0
Firefox::General,16,0,6,0
DevTools::Console,12,2,9,0
Core::Document Navigation,10,1,10,0
Core::XPConnect,6,2,14,0
Core::DOM: Web Storage,10,3,8,0
Core::Networking,16,1,1,0
Remote Protocol::Agent,14,1,2,0
Toolkit::Add-ons Manager,15,0,1,0
Core::DOM: Content Processes,9,0,3,0
Firefox::Address Bar,12,0,0,0
Toolkit::Data Sanitization,12,12,0,0
Core::SVG,7,6,1,0
Firefox::Tracking Protection,8,5,0,0
Core::DOM: IndexedDB,6,1,1,0
Core::Security,1,1,6,0
Firefox::Tabbed Browser,3,0,4,0
Toolkit::Safe Browsing,7,1,0,0
Core::Audio/Video: Playback,2,2,4,0
DevTools::Inspector,3,1,3,0
Toolkit::Reader Mode,6,0,0,0
Core::Plug-ins,3,0,2,0
Core::WebRTC,3,0,2,0
Core::Layout: Form Controls,2,2,2,0
Firefox::PDF Viewer,4,0,0,0
Toolkit::General,3,1,1,0
Core::DOM: Quota Manager,3,0,0,0
Core::Networking: Cookies,3,1,0,0
Core::Window Management,1,1,2,0
DevTools::Responsive Design Mode,3,1,0,0
Core::DOM: Push Notifications,1,0,1,0
Core::DOM: Workers,1,1,1,0
DevTools::Framework,1,0,1,0
DevTools::Style Editor,0,0,2,0
Firefox::Bookmarks & History,2,0,0,0
Toolkit::Find Toolbar,2,2,0,0
Toolkit::Notifications and Alerts,1,0,1,0
Toolkit::Telemetry,2,0,0,0
Core::DOM: Events,1,1,0,0
Core::DOM: File,1,0,0,0
Core::DOM: Networking,1,0,0,0
Core::ImageLib,0,0,1,0
Core::Permission Manager,0,0,1,0
Firefox::Activity Streams: Newtab,1,0,0,0
Firefox::Enterprise Policies,1,0,0,0
Firefox::File Handling,1,0,0,0
Firefox::Keyboard Navigation,1,1,0,0
Firefox::Private Browsing,1,0,0,0
Firefox::Tabbed Browsing,1,0,0,0
Firefox::Toolbars and Customization,1,0,0,0
Toolkit::Crash Reporting,1,0,0,0
Toolkit::Form Manager,0,0,1,0
Toolkit::Places,1,0,0,0
Web Compatibility Tools::General,1,0,0,0